"filename", "language", "JSON", "HTML", "Properties", "Markdown", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\Homepage.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 2, 10, 78
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\LoginPage.js", "JavaScript", 0, 0, 0, 0, 266, 0, 0, 6, 20, 292
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\Logout.js", "JavaScript", 0, 0, 0, 0, 61, 0, 0, 0, 13, 74
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminDashboard.js", "JavaScript", 0, 0, 0, 0, 160, 0, 0, 0, 20, 180
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminEvaluationForm.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminHomePage.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 6, 11, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminProfile.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 76, 11, 105
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminRegisterPage.js", "JavaScript", 0, 0, 0, 0, 202, 0, 0, 0, 16, 218
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\SideBar.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 4, 92
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\AddClass.js", "JavaScript", 0, 0, 0, 0, 109, 0, 0, 0, 11, 120
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ClassDetails.js", "JavaScript", 0, 0, 0, 0, 256, 0, 0, 12, 27, 295
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ShowClasses.js", "JavaScript", 0, 0, 0, 0, 181, 0, 0, 4, 20, 205
