"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ShowSubjects.js", "JavaScript", 98, 0, 0, 4, 13, 115
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\SubjectForm.js", "JavaScript", 167, 0, 0, 0, 16, 183
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ViewSubject.js", "JavaScript", 182, 0, 0, 10, 21, 213
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\AddTeacher.js", "JavaScript", 91, 0, 0, 0, 15, 106
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseClass.js", "JavaScript", 72, 0, 0, 0, 10, 82
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseSubject.js", "JavaScript", 99, 0, 0, 0, 8, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ShowTeachers.js", "JavaScript", 153, 0, 0, 3, 13, 169
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\TeacherDetails.js", "JavaScript", 56, 0, 0, 0, 8, 64
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysis.css", "CSS", 0, 15, 0, 0, 2, 17
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysis.js", "JavaScript", 164, 0, 0, 92, 37, 293
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisEighth.js", "JavaScript", 68, 0, 0, 8, 17, 93
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFifth.js", "JavaScript", 45, 0, 0, 3, 13, 61
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFirst.js", "JavaScript", 28, 0, 0, 0, 3, 31
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisFourth.js", "JavaScript", 71, 0, 0, 2, 12, 85
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSecond.js", "JavaScript", 118, 0, 0, 62, 40, 220
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSeventh.js", "JavaScript", 99, 0, 0, 36, 31, 166
